,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
3098,15335_7#92,2011.0,USA,America,0.5,16.0,0.06,0.25,-1.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3099,15335_2#36,2012.0,USA,America,1.0,16.0,0.06,0.25,0.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3100,15335_2#70,2012.0,USA,America,1.0,16.0,0.125,0.25,0.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
3101,15335_7#59,2013.0,USA,America,0.5,16.0,0.06,0.25,-1.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3102,15335_7#61,2013.0,USA,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
3103,15335_6#88,2013.0,USA,America,0.5,16.0,0.06,0.25,-1.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3104,15335_2#76,2013.0,USA,America,0.5,16.0,0.06,0.25,-1.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3105,16043_2#15,2011.0,USA,America,1.0,16.0,0.06,0.25,0.0,4.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3106,15335_6#23,2011.0,USA,America,0.5,0.004,0.125,0.5,-1.0,-7.965784285,-3.0,-1.0,0.0,0.0,0.0,0.0
3107,16043_2#21,2012.0,USA,America,0.25,0.004,0.125,0.5,-2.0,-7.965784285,-3.0,-1.0,0.0,0.0,0.0,0.0
3108,15335_2#20,2006.0,USA,America,0.063,4.0,0.016,0.032,-3.988504361,2.0,-5.965784285,-4.965784285,0.0,1.0,0.0,0.0
3109,15335_7#80,2011.0,USA,America,1.0,16.0,0.125,0.5,0.0,4.0,-3.0,-1.0,0.0,1.0,0.0,0.0
3110,15335_7#87,2011.0,USA,America,0.25,0.004,0.016,0.016,-2.0,-7.965784285,-5.965784285,-5.965784285,0.0,0.0,0.0,0.0
3117,15335_2#26,2007.0,USA,America,0.5,16.0,0.063,0.032,-1.0,4.0,-3.988504361,-4.965784285,0.0,1.0,0.0,0.0
3122,15335_2#23,2007.0,USA,America,0.25,0.125,1.0,1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
3128,15335_2#25,2007.0,USA,America,0.5,32.0,0.125,0.032,-1.0,5.0,-3.0,-4.965784285,0.0,1.0,0.0,0.0
3129,15335_2#24,2007.0,USA,America,0.5,16.0,0.063,0.032,-1.0,4.0,-3.988504361,-4.965784285,0.0,1.0,0.0,0.0
3135,15335_2#22,2007.0,USA,America,1.0,16.0,0.125,0.25,0.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
3142,15335_4#60,2007.0,USA,America,1.0,16.0,0.125,0.125,0.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
3144,15335_4#61,2007.0,USA,America,1.0,16.0,0.063,0.125,0.0,4.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
3145,15335_4#62,2007.0,USA,America,1.0,16.0,0.063,0.125,0.0,4.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
3149,15335_4#65,2007.0,USA,America,1.0,16.0,0.063,0.125,0.0,4.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
3150,15335_2#28,2008.0,USA,America,0.5,6.0,0.25,1.0,-1.0,2.584962501,-2.0,0.0,0.0,1.0,0.0,0.0
3154,15335_2#27,2007.0,USA,America,0.063,8.0,0.016,0.032,-3.988504361,3.0,-5.965784285,-4.965784285,0.0,1.0,0.0,0.0
3161,15335_5#72,2008.0,USA,America,0.5,16.0,0.063,0.125,-1.0,4.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
3171,15335_2#29,2008.0,USA,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
3186,15335_5#78,2009.0,USA,America,0.5,0.015,0.008,0.015,-1.0,-6.058893689,-6.965784285,-6.058893689,0.0,0.0,0.0,0.0
3187,17225_3#71,2004.0,USA,America,1.0,2.0,0.004,0.008,0.0,1.0,-7.965784285,-6.965784285,0.0,1.0,0.0,0.0
3188,15335_2#39,2012.0,USA,America,0.5,0.015,0.5,1.0,-1.0,-6.058893689,-1.0,0.0,0.0,0.0,0.0,0.0
3189,17176_1#43,2001.0,USA,America,0.25,0.008,0.008,0.03,-2.0,-6.965784285,-6.965784285,-5.058893689,0.0,0.0,0.0,0.0
3190,17176_1#40,2000.0,USA,America,0.25,0.06,0.03,0.06,-2.0,-4.058893689,-5.058893689,-4.058893689,0.0,0.0,0.0,0.0
3191,17176_1#42,2004.0,USA,America,0.25,2.0,0.015,0.03,-2.0,1.0,-6.058893689,-5.058893689,0.0,1.0,0.0,0.0
3192,17176_1#51,2004.0,USA,America,0.25,16.0,0.03,0.06,-2.0,4.0,-5.058893689,-4.058893689,0.0,1.0,0.0,0.0
3193,2,2010.0,Poland,Europe,8.0,0.016,0.008,0.008,3.0,-5.965784285,-6.965784285,-6.965784285,1.0,0.0,0.0,0.0
3194,7,2010.0,Poland,Europe,8.0,0.008,0.008,0.008,3.0,-6.965784285,-6.965784285,-6.965784285,1.0,0.0,0.0,0.0
3195,43,2011.0,Poland,Europe,4.0,0.004,0.008,0.008,2.0,-7.965784285,-6.965784285,-6.965784285,1.0,0.0,0.0,0.0
3196,71,2011.0,Poland,Europe,8.0,0.023,0.004,0.008,3.0,-5.442222329,-7.965784285,-6.965784285,1.0,0.0,0.0,0.0
3197,2425,2011.0,Italy,Europe,512.0,64.0,0.023,0.016,9.0,6.0,-5.442222329,-5.965784285,1.0,1.0,0.0,0.0
3201,3831,2012.0,Norway,Europe,16.0,0.004,0.002,0.008,4.0,-7.965784285,-8.965784285,-6.965784285,1.0,0.0,0.0,0.0
